,height,v,ori,start_x,ball_d,g,unit,s_expect,pix_w,pix_h,scale,h0
0,1.2,1.0,left,1.7,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0
1,1.2,1.0,right,1.7,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0
2,1.6,1.0,right,2.0,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0
3,0.4,2.4,left,1.7,0.05715,9.8,m,0.6857142857142856,3200,1800,800.0,-600.0
4,0.4,2.4,right,1.7,0.05715,9.8,m,0.6857142857142856,3200,1800,800.0,-600.0
5,1.6,1.7,right,1.7,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0
6,0.4,1.7,right,1.7,0.05715,9.8,m,0.48571428571428565,3200,1800,800.0,-600.0
7,0.8,2.4,left,1.7,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0
8,1.2,1.0,right,2.0,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0
9,0.8,2.4,left,2.0,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0
10,0.8,1.7,left,2.0,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0
11,1.6,1.0,left,2.0,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0
12,0.8,1.7,left,1.7,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0
13,0.4,1.7,left,2.0,0.05715,9.8,m,0.48571428571428565,3200,1800,800.0,-600.0
14,1.2,1.0,left,1.7,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0
15,1.2,1.7,right,2.0,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0
16,1.6,1.7,left,1.7,0.05715,9.8,m,0.9714285714285713,3200,1800,800.0,-600.0
17,0.8,1.0,right,1.7,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0
18,0.8,1.0,left,1.7,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0
19,1.6,1.0,right,2.0,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0
20,1.2,1.0,right,1.7,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0
21,0.8,1.0,left,1.7,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0
22,0.8,1.0,left,2.0,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0
23,0.4,1.0,right,2.0,0.05715,9.8,m,0.2857142857142857,3200,1800,800.0,-600.0
24,0.4,1.0,left,1.7,0.05715,9.8,m,0.2857142857142857,3200,1800,800.0,-600.0
25,1.2,2.4,left,1.7,0.05715,9.8,m,1.1876919823329442,3200,1800,800.0,-600.0
26,1.2,1.7,left,2.0,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0
27,1.2,2.4,right,2.0,0.05715,9.8,m,1.1876919823329442,3200,1800,800.0,-600.0
28,1.6,1.0,right,1.7,0.05715,9.8,m,0.5714285714285714,3200,1800,800.0,-600.0
